ticker,sbti_participant,ungc_signatory,cdp_reporter,re100_member,esg_commitment_score,n_esg_commitments
FIX,0,0,0,0,0,0
ROAD,0,0,0,0,0,0
DY,0,0,0,0,0,0
EME,1,0,1,0,55,2
WSC,0,0,0,0,0,0
GGG,0,0,1,0,30,1
RBC,0,0,0,0,0,0
ITT,1,0,1,0,55,2
WTS,0,0,0,0,0,0
ALLE,0,0,0,0,0,0
SITE,0,0,0,0,0,0
TTC,0,0,0,0,0,0
AAON,0,0,0,0,0,0
ESAB,0,0,0,0,0,0
MWA,0,0,0,0,0,0
ZWS,0,0,0,0,0,0
SPXC,0,0,0,0,0,0
KMX,0,0,1,0,30,1
FIVE,0,0,0,0,0,0
DKS,0,0,0,0,0,0
ASO,0,0,0,0,0,0
BOOT,0,0,0,0,0,0
WSM,0,1,1,0,55,2
RH,0,0,0,0,0,0
POOL,0,0,0,0,0,0
DECK,1,0,1,0,55,2
YETI,0,0,0,0,0,0
GRMN,1,0,1,1,75,3
LULU,1,1,1,1,100,4
FOXF,0,0,0,0,0,0
CROX,0,0,0,0,0,0
SIG,0,0,0,0,0,0
SHAK,0,0,0,0,0,0
WING,0,0,0,0,0,0
TXRH,0,0,0,0,0,0
TROW,1,1,1,0,80,3
BEN,0,0,0,0,0,0
IVZ,0,0,0,0,0,0
SF,0,0,0,0,0,0
WBS,0,0,0,0,0,0
PB,0,0,0,0,0,0
FNB,0,0,0,0,0,0
EWBC,0,0,1,0,30,1
CMA,0,0,0,0,0,0
HBAN,0,0,0,0,0,0
ZION,0,0,0,0,0,0
CFR,0,0,0,0,0,0
IBKR,1,0,1,0,55,2
SEIC,0,1,0,0,25,1
ALLY,0,0,0,0,0,0
LPLA,0,0,0,0,0,0
HLNE,0,0,0,0,0,0
STEP,0,0,0,0,0,0
CBSH,0,0,0,0,0,0
PNFP,0,0,0,0,0,0
NOV,0,0,0,0,0,0
OII,0,0,0,0,0,0
HLX,0,0,0,0,0,0
CHX,0,0,0,0,0,0
TRGP,0,0,0,0,0,0
OVV,0,0,0,0,0,0
AR,0,0,0,0,0,0
RRC,0,0,0,0,0,0
SM,0,0,0,0,0,0
CTRA,0,0,0,0,0,0
PTEN,0,0,0,0,0,0
MTDR,0,0,0,0,0,0
CHRD,0,0,0,0,0,0
DINO,0,0,0,0,0,0
CLF,0,0,1,0,30,1
ATI,0,0,0,0,0,0
CMC,0,0,0,0,0,0
SON,0,0,0,0,0,0
SEE,0,0,0,0,0,0
HXL,0,0,0,0,0,0
WOR,0,0,0,0,0,0
SLVM,0,0,0,0,0,0
TROX,0,0,0,0,0,0
IOSP,0,0,0,0,0,0
CBT,0,0,0,0,0,0
NGVT,0,0,0,0,0,0
AVNT,0,0,0,0,0,0
KWR,0,0,0,0,0,0
STLD,0,1,1,0,55,2
RS,0,0,0,0,0,0
RPM,1,1,1,0,80,3
FMC,1,0,1,0,55,2
CELH,0,0,0,0,0,0
FLO,0,0,0,0,0,0
INGR,0,0,0,0,0,0
SPB,0,0,0,0,0,0
IPAR,0,0,0,0,0,0
ELF,0,0,0,0,0,0
FRPT,0,0,0,0,0,0
SJM,0,0,0,0,0,0
CASY,0,0,0,0,0,0
USFD,0,0,0,0,0,0
POST,0,0,0,0,0,0
HRL,0,0,0,0,0,0
NRG,1,0,1,1,75,3
OGE,0,0,0,0,0,0
PNW,0,0,0,0,0,0
ATO,0,0,0,0,0,0
EVRG,0,0,0,0,0,0
AES,1,0,1,1,75,3
MDU,0,0,0,0,0,0
AVA,0,0,0,0,0,0
CMS,1,1,1,0,80,3
DTE,0,1,1,0,55,2
WEC,0,1,1,0,55,2
INVH,0,0,1,0,30,1
ELS,0,0,0,0,0,0
AMH,0,0,0,0,0,0
SUI,0,0,0,0,0,0
KRC,0,0,1,0,30,1
HIW,0,0,0,0,0,0
NNN,0,0,0,0,0,0
STAG,0,0,0,0,0,0
CUBE,0,0,0,0,0,0
REXR,0,0,0,0,0,0
LAMR,0,0,0,0,0,0
IART,0,0,0,0,0,0
ZI,0,0,0,0,0,0
MTCH,0,0,0,0,0,0
MSGS,0,0,0,0,0,0
TTWO,0,0,0,0,0,0
EA,0,0,0,0,0,0
LYV,0,0,0,0,0,0
WMG,0,0,0,0,0,0
AAPL,1,1,1,1,100,4
MSFT,1,1,1,1,100,4
GOOGL,1,1,1,1,100,4
AMZN,1,0,1,1,75,3
NVDA,1,1,1,0,80,3
JNJ,1,1,1,1,100,4
JPM,1,1,1,1,100,4
XOM,0,1,1,0,55,2
PG,1,1,1,1,100,4
UNH,0,0,0,0,0,0
CAT,1,0,1,0,55,2
NEE,1,1,1,1,100,4
KO,1,1,1,1,100,4
CVX,0,1,1,0,55,2
HON,1,0,1,0,55,2
BRK-B,0,0,0,0,0,0
META,1,0,1,1,75,3
AVGO,0,0,1,0,30,1
ADBE,1,0,1,1,75,3
CRM,1,1,1,1,100,4
CSCO,1,1,1,1,100,4
INTC,1,1,1,1,100,4
AMD,0,0,0,0,0,0
ORCL,0,1,1,0,55,2
LLY,1,1,1,1,100,4
ABBV,1,0,1,0,55,2
MRK,1,1,1,0,80,3
PFE,1,1,1,1,100,4
TMO,0,1,1,0,55,2
BAC,1,1,1,1,100,4
WFC,0,1,1,0,55,2
GS,1,1,1,1,100,4
MS,1,0,1,0,55,2
BLK,1,1,1,1,100,4
WMT,1,1,1,1,100,4
HD,1,1,1,1,100,4
MCD,1,1,1,0,80,3
NKE,1,1,1,1,100,4
COST,1,1,1,0,80,3
RTX,0,1,1,0,55,2
LMT,0,1,1,0,55,2
GE,1,1,1,1,100,4
DE,0,0,1,0,30,1
NFLX,1,0,1,0,55,2
DIS,1,0,1,0,55,2
PAGEIND.NS,0,0,0,0,0,0
RELAXO.NS,0,0,0,0,0,0
WELSPUNIND.NS,0,0,0,0,0,0
ARVIND.NS,0,0,0,0,0,0
TRENT.NS,0,1,1,0,55,2
DIXON.NS,0,0,0,0,0,0
BATAINDIA.NS,0,1,1,0,55,2
VMART.NS,0,0,0,0,0,0
RAJESHEXPO.NS,0,0,0,0,0,0
JUBLFOOD.NS,0,0,0,0,0,0
DEVYANI.NS,0,0,0,0,0,0
SAPPHIRE.NS,0,0,0,0,0,0
LAURUSLABS.NS,0,1,1,0,55,2
AJANTPHARM.NS,0,0,0,0,0,0
GLENMARK.NS,0,0,0,0,0,0
TORNTPHARM.NS,1,0,0,0,25,1
ALKEM.NS,0,0,0,0,0,0
IPCALAB.NS,0,0,0,0,0,0
NATCOPHARM.NS,0,0,0,0,0,0
AUROPHARMA.NS,0,0,0,0,0,0
BIOCON.NS,1,1,1,0,80,3
SYNGENE.NS,0,1,1,0,55,2
LALPATHLAB.NS,0,0,0,0,0,0
METROPOLIS.NS,0,0,0,0,0,0
GRANULES.NS,0,0,0,0,0,0
SUVENPHAR.NS,0,0,0,0,0,0
PERSISTENT.NS,1,1,1,0,80,3
LTTS.NS,0,1,1,0,55,2
CYIENT.NS,0,0,0,0,0,0
MPHASIS.NS,0,1,1,0,55,2
COFORGE.NS,0,0,0,0,0,0
TATAELXSI.NS,1,0,1,0,55,2
ROUTE.NS,0,0,0,0,0,0
BSOFT.NS,0,0,0,0,0,0
HAPPSTMNDS.NS,0,0,0,0,0,0
MASTEK.NS,0,0,0,0,0,0
KPITTECH.NS,0,0,0,0,0,0
NEWGEN.NS,0,0,0,0,0,0
DABUR.NS,1,1,1,1,100,4
MARICO.NS,1,1,1,1,100,4
GODREJCP.NS,0,1,1,0,55,2
EMAMILTD.NS,0,0,1,0,30,1
COLPAL.NS,0,0,0,0,0,0
TATACONSUM.NS,0,0,0,0,0,0
ZYDUSWELL.NS,0,0,0,0,0,0
JYOTHYLAB.NS,0,0,0,0,0,0
BIKAJI.NS,0,0,0,0,0,0
HONASA.NS,0,0,0,0,0,0
SRF.NS,0,0,0,0,0,0
UPL.NS,0,0,0,0,0,0
AARTIIND.NS,0,0,0,0,0,0
PIDILITIND.NS,0,0,0,0,0,0
DEEPAKNTR.NS,0,0,0,0,0,0
NAVINFLUOR.NS,0,0,0,0,0,0
CLEAN.NS,0,0,0,0,0,0
ATUL.NS,0,0,0,0,0,0
FINEORG.NS,0,0,0,0,0,0
SUDARSCHEM.NS,0,0,0,0,0,0
ANANTRAJ.NS,0,0,0,0,0,0
GALAXYSURF.NS,0,0,0,0,0,0
ABB.NS,0,0,0,0,0,0
CUMMINSIND.NS,0,0,0,0,0,0
THERMAX.NS,0,0,0,0,0,0
SCHAEFFLER.NS,0,0,0,0,0,0
HONAUT.NS,0,0,0,0,0,0
GRINDWELL.NS,0,0,0,0,0,0
AIAENG.NS,0,0,0,0,0,0
ELGIEQUIP.NS,0,0,0,0,0,0
TIINDIA.NS,0,0,0,0,0,0
KAYNES.NS,0,0,0,0,0,0
MOTHERSON.NS,0,0,0,0,0,0
BALKRISIND.NS,0,0,0,0,0,0
ENDURANCE.NS,0,0,0,0,0,0
EXIDEIND.NS,0,0,0,0,0,0
SUNDRMFAST.NS,0,0,0,0,0,0
SUPRAJIT.NS,0,0,0,0,0,0
CRAFTSMAN.NS,0,0,0,0,0,0
GABRIEL.NS,0,0,0,0,0,0
CHOLAFIN.NS,0,0,0,0,0,0
MUTHOOTFIN.NS,0,0,0,0,0,0
MANAPPURAM.NS,0,0,0,0,0,0
IIFL.NS,0,0,0,0,0,0
CANFINHOME.NS,0,0,0,0,0,0
ABCAPITAL.NS,0,0,0,0,0,0
MASFIN.NS,0,0,0,0,0,0
POONAWALLA.NS,0,0,0,0,0,0
OBEROIRLTY.NS,0,0,0,0,0,0
GODREJPROP.NS,0,0,0,0,0,0
PRESTIGE.NS,0,0,0,0,0,0
BRIGADE.NS,0,0,0,0,0,0
